№ участка;Адрес;Удаленность от м. Купчино, км;Статус сайта;Статус геокодирования
1;187650, Ленинградской область, г. Бокситогорск, ул. Воронина, д. 2;220.0;ok;fail:empty/empty|manual
2;187600, Ленинградская область, г. Пикалево, ул. Школьная, д. 67;208.5;ok;fail:empty/empty|fallback_locality
3;187600, Ленинградская область, г. Пикалево, ул. Школьная, д. 67;208.5;ok;fail:empty/empty|fallback_locality
4;188410, Ленинградская область, г. Волосово, ул. Усадьба СХТ д. 1;66.0;ok;fallback:ok
5;188410, Ленинградская область, г. Волосово, ул. Усадьба СХТ, д. 1;66.0;ok;fallback:ok
6;188410, Ленинградская область, г. Волосово, ул. Усадьба СХТ, д. 1;66.0;ok;fallback:ok
7;187406, Ленинградская область, г. Волхов, Волховский пр. , д. 39;108.0;ok;fail:empty/empty|fallback_locality
8;187401, Ленинградская область, г. Волхов, ул. Коммунаров, д. 26;108.0;ok;fail:empty/empty|fallback_locality
9;187450, Ленинградская область, Волховский район, г. Новая Ладога, пр. Карла Маркса, д. 28/1;111.4;ok;fallback:ok
10;187420, Ленинградская область, г. Сясьстрой, ул. Советская, д. 15А;125.5;ok;fail:empty/empty|fallback_locality
11;;;HTTP 404;
12;188640, Ленинградская область, г. Всеволожск, Колтушское шоссе, д.103;26.5;ok;ok
13;188640, Ленинградская обл., г. Всеволожск, Колтушское ш., д. 103;26.5;ok;ok
14;188693, Ленинградская область, Всеволожский район, г. Кудрово, проспект Строителей, д. 25, стр. 2;10.9;ok;fallback:ok
15;188693, Ленинградская область, Всеволожский район, г. Кудрово , пр. Строителей, д. 25, стр. 2.;10.9;ok;fallback:ok
16;188663, Ленинградская область, п. Кузьмоловский, ул. Железнодорожная, д. 26;32.3;ok;fail:empty/empty|fallback_locality
17;188664, Ленинградская область, Всеволожский р-н, гп. Токсово, ул. Привокзальная, д. 16 А;36.7;ok;fallback:ok
18;188650, Ленинградская область, г. Сертолово, ул. Индустриальная, д. 5, к. 1;38.4;ok;fallback:ok
19;188650, Ленинградская область, г. Сертолово, ул. Ларина, д. 4;38.4;ok;fallback:ok
20;188801, Ленинградская область, г. Выборг, ул. Титова, д. 2;133.6;ok;ok
21;188801, Ленинградская область, г. Выборг, ул. Титова, д. 2;133.6;ok;ok
22;188801, Ленинградская область, г. Выборг, ул. Титова, д. 2;133.6;ok;ok
23;188801, Ленинградская область, г. Выборг, ул. Титова, д. 2;133.6;ok;ok
24;188820, Ленинградская область, Выборгский район, пгт. Рощино, ул. Садовая д. 22;64.2;ok;fallback:ok
25;188820, Ленинградская обл., Выборгский р-н, п. Рощино, ул. Садовая, д. 22;64.2;ok;fallback:ok
26;188990, Ленинградская область, Выборгский район, г. Светогорск ул. Ленина д.1;165.2;ok;fallback:ok
27;188918, Ленинградская область, п. Советский, ул. Советская, д. 22;29.6;ok;fail:empty/empty|fallback_locality
28;188304, Ленинградская область, г. Гатчина, ул. Урицкого, д. 2;32.5;ok;fallback:ok
29;188304, Ленинградская область, г. Гатчина, ул. Урицкого, д. 2;32.5;ok;fallback:ok
30;188304, Ленинградская область, г. Гатчина, ул. Урицкого, д. 2;32.5;ok;fallback:ok
31;188304, Ленинградская область, г. Гатчина, ул. Урицкого, д. 2 А;32.5;ok;fallback:ok
32;188304, Ленинградская область, г. Гатчина, ул. Урицкого, д. 2;32.5;ok;fallback:ok
33;188360, Ленинградская область, п. Войсковицы, ул. Молодежная, д. 1;43.9;ok;fail:empty/empty|fallback_locality
34;188304, Ленинградская область, Гатчинский район, г. Гатчина, ул. Урицкого, д. 2 А;33.1;ok;fallback:ok
35;188304, Ленинградская область, г. Гатчина, ул. Урицкого, д. 2 А;32.5;ok;fallback:ok
36;188380, Ленинградская область, п. Вырица, Коммунальный пр. , д. 14;45.9;ok;fallback:ok
37;188320, Ленинградская область, г. Коммунар, ул. Строителей, д. 5 (здание Полиции);23.4;ok;fallback:ok
38;188480, Ленинградская область, г. Кингисепп, ул. Карла Маркса, д. 63;111.9;ok;fail:empty/empty|fallback_locality
39;188480, Ленинградская область, г. Кингисепп, ул. Карла Маркса, д. 63;111.9;ok;fail:empty/empty|fallback_locality
40;188490, Ленинградская область, г. Ивангород, ул. Гагарина, д. 40 А;132.4;ok;fail:empty/empty|fallback_locality
